               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.019601,           0.0066727,                   0,             0.77154,             0.77015,             0.82399,             0.42365,            0.025128,            0.008541,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.018848,           0.0063742,                   0,             0.82988,             0.73919,             0.81714,             0.42043,            0.024864,           0.0086251,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.018522,           0.0064118,                   0,             0.78011,             0.78637,             0.81996,             0.43808,            0.024902,           0.0087009,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.01892,           0.0066106,                   0,             0.79263,             0.75644,              0.8134,             0.43813,            0.024993,           0.0088315,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.018432,           0.0065265,                   0,             0.77494,             0.74913,             0.80704,             0.42593,            0.025205,           0.0091402,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.018594,           0.0064963,                   0,             0.79361,             0.74967,             0.81447,             0.43623,            0.024758,            0.008909,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.018079,           0.0064306,                   0,             0.80458,             0.75543,             0.82339,             0.43983,            0.024854,           0.0088094,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.017903,           0.0061676,                   0,              0.7997,             0.75349,             0.81614,             0.43639,            0.024573,           0.0085114,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.01806,           0.0062712,                   0,              0.8124,             0.73788,             0.82738,             0.43111,            0.024505,           0.0086265,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.01732,           0.0061223,                   0,             0.79087,             0.75229,             0.82377,             0.44422,            0.024282,           0.0087196,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.017445,           0.0061159,                   0,             0.81109,             0.75623,             0.82727,             0.44379,            0.024368,             0.00872,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.017219,           0.0059868,                   0,             0.79345,             0.75229,             0.82153,             0.44116,             0.02458,           0.0087393,                   0,            0.000496,            0.000496,            0.000496
